HIA97623.1	ADE04374.1	49.474	190	96	0	4	193	8	197	2.36e-62	190
HIA97624.1	ADE05192.1	29.412	153	104	4	4	153	3	154	1.08e-26	95.5
HIA97626.1	ADE03186.1	45.010	511	242	13	29	529	8	489	9.89e-125	371
HIA97627.1	ADE01895.1	43.939	198	100	2	6	202	2	189	3.05e-52	163
HIA97629.1	ADE03439.1	38.728	346	202	5	44	380	151	495	2.67e-75	238
HIA97632.1	ADE02970.1	45.131	421	206	12	38	437	1	417	3.88e-110	328
HIA97635.1	ADE05014.2	37.445	227	127	6	1	217	13	234	1.19e-41	138
HIA97639.1	ADE03083.1	29.393	313	189	6	6	288	5	315	6.37e-29	110
HIA97644.1	ADE03982.1	49.038	208	103	2	5	209	7	214	5.44e-60	186
HIA97649.1	ADE03457.1	48.077	156	77	2	1	156	1	152	4.15e-44	151
HIA97650.1	ADE02778.1	60.000	215	84	1	3	215	393	607	3.67e-91	276
HIA97651.1	ADE05023.1	51.282	273	125	2	1	269	226	494	3.92e-92	288
HIA97655.1	ADE04503.1	28.372	215	140	4	11	216	68	277	1.26e-22	90.9
HIA97656.1	ADE01721.1	60.878	547	206	2	6	544	26	572	0.0	695
HIA97657.1	ADE03449.1	35.060	251	142	8	4	243	4	244	6.03e-34	124
HIA97661.1	ADE05041.1	46.026	302	163	0	4	305	13	314	1.47e-105	308
HIA97663.1	ADE04756.1	41.916	334	168	8	447	768	35	354	6.45e-60	207
HIA97667.1	ADE03330.1	30.626	431	278	10	26	446	15	434	1.94e-62	205
HIA97673.1	ADE04845.1	26.214	309	204	8	41	331	37	339	6.17e-23	96.3
HIA97674.1	ADE03428.1	30.645	186	126	2	8	192	485	668	5.83e-26	100
HIA97676.1	ADE03600.1	33.077	260	143	5	602	860	50	279	5.47e-29	116
HIA97677.1	ADE02567.1	40.873	252	144	3	5	253	36	285	6.44e-65	201
HIA97679.1	ADE01296.1	33.612	479	300	9	2	469	12	483	1.83e-75	242
HIA97685.1	ADE02775.1	34.624	439	238	5	29	465	22	413	1.70e-75	240
HIA97687.1	ADE03474.1	32.346	405	241	10	20	393	16	418	6.71e-61	200
HIA97689.1	ADE03582.1	45.833	120	60	2	7	126	6	120	1.56e-35	115
HIA97690.1	ADE04586.1	35.036	274	165	4	7	278	1	263	1.90e-42	144
HIA97691.1	ADE04844.1	33.838	198	116	5	8	197	3	193	2.87e-31	109
HIA97693.1	ADE03933.1	37.895	190	102	7	11	185	2	190	6.94e-34	116
HIA97699.1	ADE04392.1	36.975	238	147	2	29	263	8	245	4.46e-43	148
HIA97703.1	ADE03134.1	31.802	283	183	5	31	311	1	275	1.30e-34	124
HIA97704.1	ADE02810.1	57.037	405	168	3	5	408	16	415	1.88e-164	465
HIA97705.1	ADE02312.1	39.453	256	142	5	1	252	1	247	3.43e-58	184
HIA97706.1	ADE03457.1	56.596	705	286	4	24	728	242	926	0.0	816
HIA97708.1	ADE03199.1	42.771	166	91	2	357	518	31	196	3.21e-38	136
HIA97709.1	ADE04123.1	34.694	245	154	3	1	242	1	242	7.43e-45	150
HIA97713.1	ADE04852.1	57.042	426	173	5	3	424	220	639	7.40e-154	447
HIA97718.1	ADE02815.1	35.593	649	335	23	30	674	4	573	2.52e-95	305
HIA97723.1	ADE03608.1	38.312	308	174	4	12	304	4	310	7.22e-71	219
HIA97724.1	ADE02080.1	29.954	434	284	11	6	426	16	442	4.51e-60	200
HIA97729.1	ADE05091.1	28.926	242	160	5	135	369	447	683	2.82e-25	104
HIA97730.1	ADE02369.1	31.276	243	151	8	4	237	166	401	1.97e-27	105
HIA97732.1	ADE02495.1	48.824	170	87	0	1	170	557	726	4.76e-48	162
HIA97733.1	ADE03403.1	38.288	222	132	4	1	218	1	221	2.37e-47	152
HIA97734.1	ADE03403.1	35.931	231	135	6	1	229	1	220	7.05e-38	129
HIA97735.1	ADE03403.1	37.900	219	134	2	1	217	1	219	1.97e-54	171
HIA97736.1	ADE05147.1	58.081	198	81	1	1	198	1	196	1.14e-83	251
HIA97738.1	ADE04974.1	36.873	339	196	2	7	329	12	348	8.07e-61	195
HIA97741.1	ADE02072.1	35.802	162	100	3	1	159	353	513	6.98e-26	99.8
HIA97742.1	ADE02475.1	28.010	407	240	11	44	433	60	430	1.12e-39	144
HIA97744.1	ADE01309.1	39.149	235	139	2	2	233	10	243	2.39e-62	192
HIA97746.1	ADE02848.1	45.556	90	49	0	5	94	4	93	8.25e-23	81.3
HIA97748.1	ADE02888.1	35.556	180	109	3	4	178	15	192	6.48e-39	128
HIA97750.1	ADE04353.1	45.752	153	79	2	1	151	192	342	1.70e-42	141
HIA97751.1	ADE02870.1	47.071	956	433	15	6	913	19	949	0.0	860
HIA97751.1	ADE02870.1	35.204	392	237	5	5	391	581	960	2.34e-62	226
HIA97751.1	ADE02870.1	33.924	395	230	7	549	912	16	410	8.40e-60	218
